,S1,S2,difference_detected_sample
0,0.0,0.0,1.0
1,0.0,0.0505050505050505,1.0
2,0.0,0.101010101010101,1.0
3,0.0,0.15151515151515152,1.0
4,0.0,0.202020202020202,0.0
5,0.0,0.2525252525252525,0.0
6,0.0,0.30303030303030304,0.0
7,0.0,0.35353535353535354,1.0
8,0.0,0.404040404040404,1.0
9,0.0,0.4545454545454545,1.0
10,0.0,0.5050505050505051,0.0
11,0.0,0.5555555555555556,1.0
12,0.0,0.6060606060606061,1.0
13,0.0,0.6565656565656566,1.0
14,0.0,0.7070707070707071,0.0
15,0.0,0.7575757575757576,1.0
16,0.0,0.8080808080808081,1.0
17,0.0,0.8585858585858586,1.0
18,0.0,0.9090909090909092,1.0
19,0.0,0.9595959595959596,1.0
20,0.0,1.0101010101010102,1.0
21,0.0,1.0606060606060606,0.0
22,0.0,1.1111111111111112,1.0
23,0.0,1.1616161616161615,0.0
24,0.0,1.2121212121212122,1.0
25,0.0,1.2626262626262623,1.0
26,0.0,1.3131313131313131,0.0
27,0.0,1.3636363636363635,0.0
28,0.0,1.414141414141414,1.0
29,0.0,1.4646464646464643,1.0
30,0.0,1.5151515151515151,1.0
31,0.0,1.5656565656565655,1.0
32,0.0,1.616161616161616,1.0
33,0.0,1.6666666666666667,1.0
34,0.0,1.7171717171717171,1.0
35,0.0,1.7676767676767675,1.0
36,0.0,1.818181818181818,1.0
37,0.0,1.8686868686868687,1.0
38,0.0,1.9191919191919191,1.0
39,0.0,1.9696969696969695,1.0
40,0.0,2.0202020202020203,0.0
41,0.0,2.0707070707070705,1.0
42,0.0,2.121212121212121,0.0
43,0.0,2.171717171717172,1.0
44,0.0,2.2222222222222223,1.0
45,0.0,2.2727272727272725,1.0
46,0.0,2.323232323232323,1.0
47,0.0,2.3737373737373737,1.0
48,0.0,2.4242424242424243,1.0
49,0.0,2.474747474747475,1.0
50,0.0,2.525252525252525,1.0
51,0.0,2.575757575757576,1.0
52,0.0,2.6262626262626263,1.0
53,0.0,2.676767676767677,1.0
